Combo,LightGBM,CatBoost,XGBoost,LOI
84,5.662783254,6.207809993,5.947464478,"(7, 9, 6, 8, 10)"
85,6.780006161,5.254683321,5.420027295,"(7, 8, 10, 9, 6)"
86,6.128337441,5.929683321,5.163235391,"(7, 8, 10, 6, 9)"
87,6.772229068,5.211714989,5.645027295,"(7, 8, 9, 10, 6)"
88,5.903337441,6.111714989,5.30263809,"(7, 8, 9, 6, 10)"
89,6.097229068,5.757809993,6.063235391,"(7, 8, 6, 10, 9)"
90,5.880006161,5.982809993,5.97763809,"(7, 8, 6, 9, 10)"
91,6.780006161,5.254683321,5.309179917,"(7, 6, 10, 9, 8)"
92,6.562783254,5.479683321,5.223582615,"(7, 6, 10, 8, 9)"
93,6.772229068,5.211714989,5.534179917,"(7, 6, 9, 10, 8)"
94,6.337783254,5.661714989,5.362985314,"(7, 6, 9, 8, 10)"
95,6.547229068,5.393746657,5.673582615,"(7, 6, 8, 10, 9)"
96,6.330006161,5.618746657,5.587985314,"(7, 6, 8, 9, 10)"
97,6.112783254,5.790286417,5.724082769,"(6, 10, 9, 8, 7)"
98,5.895560348,6.015286417,5.638485468,"(6, 10, 9, 7, 8)"
99,6.105006161,5.747318085,5.949082769,"(6, 10, 8, 9, 7)"
100,5.670560348,6.197318085,5.777888167,"(6, 10, 8, 7, 9)"
101,5.880006161,5.929349753,6.088485468,"(6, 10, 7, 9, 8)"
102,5.662783254,6.154349753,6.002888167,"(6, 10, 7, 8, 9)"
103,6.337783254,5.608254749,5.529256381,"(6, 9, 10, 8, 7)"
104,6.120560348,5.833254749,5.44365908,"(6, 9, 10, 7, 8)"
105,6.322229068,5.522318085,5.979256381,"(6, 9, 8, 10, 7)"
106,5.670560348,6.197318085,5.722464478,"(6, 9, 8, 7, 10)"
107,6.097229068,5.704349753,6.11865908,"(6, 9, 7, 10, 8)"
108,5.662783254,6.154349753,5.947464478,"(6, 9, 7, 8, 10)"
109,6.555006161,5.383254749,5.559429994,"(6, 8, 10, 9, 7)"
110,6.120560348,5.833254749,5.388235391,"(6, 8, 10, 7, 9)"
111,6.547229068,5.340286417,5.784429994,"(6, 8, 9, 10, 7)"
112,5.895560348,6.015286417,5.52763809,"(6, 8, 9, 7, 10)"
113,6.097229068,5.704349753,6.063235391,"(6, 8, 7, 10, 9)"
114,5.880006161,5.929349753,5.97763809,"(6, 8, 7, 9, 10)"
115,6.555006161,5.383254749,5.504006305,"(6, 7, 10, 9, 8)"
116,6.337783254,5.608254749,5.418409003,"(6, 7, 10, 8, 9)"
117,6.547229068,5.340286417,5.729006305,"(6, 7, 9, 10, 8)"
118,6.112783254,5.790286417,5.557811702,"(6, 7, 9, 8, 10)"
119,6.322229068,5.522318085,5.868409003,"(6, 7, 8, 10, 9)"
120,6.105006161,5.747318085,5.782811702,"(6, 7, 8, 9, 10)"
