,LightGBM,CatBoost,XGBoost
Safety,2.25,1.0928571428571423,0.225
Performance,0.175,1.75,1.5387847144990627
Efficiency,2.5,0.6796833208516192,0.25
Manufacturability,1.9377832544888414,0.2,2.0
Compatibility,0.15,1.5,0.9864161925096214
