,LightGBM,CatBoost,XGBoost
Safety,2.0,0.9714285714285711,0.2
Performance,0.175,1.75,1.5387847144990627
Efficiency,2.25,0.6117149887664572,0.225
Manufacturability,1.4533374408666309,0.15,1.5
Compatibility,0.25,2.5,1.6440269875160358
