,LightGBM,CatBoost,XGBoost
Safety,1.75,0.8499999999999995,0.175
Performance,0.2,2.0,1.7586111022846431
Efficiency,2.5,0.6796833208516192,0.25
Manufacturability,2.1800061612999464,0.225,2.25
Compatibility,0.15,1.5,0.9864161925096214
