,LightGBM,CatBoost,XGBoost
Safety,2.0,0.9714285714285711,0.2
Performance,0.225,2.25,1.9784374900702235
Efficiency,1.75,0.4757783245961334,0.175
Manufacturability,1.4533374408666309,0.15,1.5
Compatibility,0.25,2.5,1.6440269875160358
