,LightGBM,CatBoost,XGBoost
Safety,1.5,0.7285714285714282,0.15
Performance,0.2,2.0,1.7586111022846431
Efficiency,2.5,0.6796833208516192,0.25
Manufacturability,1.6955603476777361,0.175,1.75
Compatibility,0.225,2.25,1.4796242887644322
